Title,Description,Priority,Assignee,Labels,Estimate
Day 06 - English File - File 3 Day 1,完成 English File Beginner File 3 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 3-4 Cycle,3
Day 06 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 3-4 Cycle,2
Day 07 - English File - File 3 Day 2,完成 English File Beginner File 3 第2天强化：用3小时复习File 3全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 3主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 3-4 Cycle,3
Day 07 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 3-4 Cycle,2
Day 08 - English File - File 4 Day 1,完成 English File Beginner File 4 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 3-4 Cycle,3
Day 08 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 3-4 Cycle,2
Day 09 - English File - File 4 Day 2,完成 English File Beginner File 4 第2天强化：用3小时复习File 4全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 4主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 3-4 Cycle,3
Day 09 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 3-4 Cycle,2
Day 10 - English File - Practical English 2 + Revise & Check 3&4,完成 Practical English 2 与 Revise & Check 3&4 的主线复盘：用3小时完成场景对话学习、复习检测和错题整理，回顾File 3-4核心词汇与句型各不少于5项；录制1段5分钟综合口语音频，覆盖File 3-4主题。完成标准：完成Revise & Check，整理错题，并独立输出1段5分钟综合表达。,High,chenzehao,Files 3-4 Cycle,4
Day 10 - English Pod - Review Cycle 2,选择1-2段适合A1且与File 3-4主题相关的 English Pod 材料，用2小时完成精听、跟读和复述；提炼5个可复用表达并各造1句，录制1段90秒综合复述音频。完成标准：完成2小时听说训练，输出5句表达替换，并完成1段综合复述录音。,Medium,chenzehao,Files 3-4 Cycle,3
Day 11 - English File - File 5 Day 1,完成 English File Beginner File 5 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 5-6 Cycle,3
Day 11 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 5-6 Cycle,2
Day 12 - English File - File 5 Day 2,完成 English File Beginner File 5 第2天强化：用3小时复习File 5全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 5主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 5-6 Cycle,3
Day 12 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 5-6 Cycle,2
Day 13 - English File - File 6 Day 1,完成 English File Beginner File 6 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 5-6 Cycle,3
Day 13 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 5-6 Cycle,2
Day 14 - English File - File 6 Day 2,完成 English File Beginner File 6 第2天强化：用3小时复习File 6全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 6主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 5-6 Cycle,3
Day 14 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 5-6 Cycle,2
Day 15 - English File - Practical English 3 + Revise & Check 5&6,完成 Practical English 3 与 Revise & Check 5&6 的主线复盘：用3小时完成场景对话学习、复习检测和错题整理，回顾File 5-6核心词汇与句型各不少于5项；录制1段5分钟综合口语音频，覆盖File 5-6主题。完成标准：完成Revise & Check，整理错题，并独立输出1段5分钟综合表达。,High,chenzehao,Files 5-6 Cycle,4
Day 15 - English Pod - Review Cycle 3,选择1-2段适合A1且与File 5-6主题相关的 English Pod 材料，用2小时完成精听、跟读和复述；提炼5个可复用表达并各造1句，录制1段90秒综合复述音频。完成标准：完成2小时听说训练，输出5句表达替换，并完成1段综合复述录音。,Medium,chenzehao,Files 5-6 Cycle,3
Day 16 - English File - File 7 Day 1,完成 English File Beginner File 7 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 7-8 Cycle,3
Day 16 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 7-8 Cycle,2
Day 17 - English File - File 7 Day 2,完成 English File Beginner File 7 第2天强化：用3小时复习File 7全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 7主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 7-8 Cycle,3
Day 17 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 7-8 Cycle,2
Day 18 - English File - File 8 Day 1,完成 English File Beginner File 8 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 7-8 Cycle,3
Day 18 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 7-8 Cycle,2
Day 19 - English File - File 8 Day 2,完成 English File Beginner File 8 第2天强化：用3小时复习File 8全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 8主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 7-8 Cycle,3
Day 19 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 7-8 Cycle,2
Day 20 - English File - Practical English 4 + Revise & Check 7&8,完成 Practical English 4 与 Revise & Check 7&8 的主线复盘：用3小时完成场景对话学习、复习检测和错题整理，回顾File 7-8核心词汇与句型各不少于5项；录制1段5分钟综合口语音频，覆盖File 7-8主题。完成标准：完成Revise & Check，整理错题，并独立输出1段5分钟综合表达。,High,chenzehao,Files 7-8 Cycle,4
Day 20 - English Pod - Review Cycle 4,选择1-2段适合A1且与File 7-8主题相关的 English Pod 材料，用2小时完成精听、跟读和复述；提炼5个可复用表达并各造1句，录制1段90秒综合复述音频。完成标准：完成2小时听说训练，输出5句表达替换，并完成1段综合复述录音。,Medium,chenzehao,Files 7-8 Cycle,3
Day 21 - English File - File 9 Day 1,完成 English File Beginner File 9 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 9-10 Cycle,3
Day 21 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 9-10 Cycle,2
Day 22 - English File - File 9 Day 2,完成 English File Beginner File 9 第2天强化：用3小时复习File 9全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 9主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 9-10 Cycle,3
Day 22 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 9-10 Cycle,2
Day 23 - English File - File 10 Day 1,完成 English File Beginner File 10 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 9-10 Cycle,3
Day 23 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 9-10 Cycle,2
Day 24 - English File - File 10 Day 2,完成 English File Beginner File 10 第2天强化：用3小时复习File 10全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 10主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 9-10 Cycle,3
Day 24 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 9-10 Cycle,2
Day 25 - English File - Practical English 5 + Revise & Check 9&10,完成 Practical English 5 与 Revise & Check 9&10 的主线复盘：用3小时完成场景对话学习、复习检测和错题整理，回顾File 9-10核心词汇与句型各不少于5项；录制1段5分钟综合口语音频，覆盖File 9-10主题。完成标准：完成Revise & Check，整理错题，并独立输出1段5分钟综合表达。,High,chenzehao,Files 9-10 Cycle,4
Day 25 - English Pod - Review Cycle 5,选择1-2段适合A1且与File 9-10主题相关的 English Pod 材料，用2小时完成精听、跟读和复述；提炼5个可复用表达并各造1句，录制1段90秒综合复述音频。完成标准：完成2小时听说训练，输出5句表达替换，并完成1段综合复述录音。,Medium,chenzehao,Files 9-10 Cycle,3
Day 26 - English File - File 11 Day 1,完成 English File Beginner File 11 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 11-12 Cycle,3
Day 26 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 11-12 Cycle,2
Day 27 - English File - File 11 Day 2,完成 English File Beginner File 11 第2天强化：用3小时复习File 11全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 11主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 11-12 Cycle,3
Day 27 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 11-12 Cycle,2
Day 28 - English File - File 12 Day 1,完成 English File Beginner File 12 第1天主线学习：用3小时学习当天新词、核心句型、语法和课本音频，整理不少于10个关键词或表达，并围绕当天主题口头造句不少于10句；录制1段2分钟音频，内容只使用当天学到的核心句型。完成标准：完成3小时主线学习，产出10句口头造句，并独立完成1段2分钟录音。,High,chenzehao,Files 11-12 Cycle,3
Day 28 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 生活场景材料，用2小时完成1次盲听、2次精听、2次跟读，并提炼5个可复用表达；使用这5个表达各口头造1句，录制1段60-90秒复述音频。完成标准：完成全部听读步骤，输出5句替换表达，并独立复述所选材料大意。,Medium,chenzehao,Files 11-12 Cycle,2
Day 29 - English File - File 12 Day 2,完成 English File Beginner File 12 第2天强化：用3小时复习File 12全部内容，重听课本音频并纠正发音，整理当天仍不熟悉的5个句型或词汇；围绕File 12主题口头造句不少于10句，并录制1段3分钟主题表达音频。完成标准：完成3小时复习，输出10句口头造句，并能连续完成3分钟主题表达。,High,chenzehao,Files 11-12 Cycle,3
Day 29 - English Pod - A1 Listening Practice,选择1-2段适合A1的 English Pod 材料，用2小时完成精听、跟读和表达替换训练；从材料中提炼5个高频表达并替换人物、时间或地点后重新说出，最后录制1段60-90秒无稿复述。完成标准：完成2小时训练，输出5句替换表达，并完成1段无稿复述录音。,Medium,chenzehao,Files 11-12 Cycle,2
Day 30 - English File - Practical English 6 + Revise & Check 11&12,完成 Practical English 6 与 Revise & Check 11&12 的主线复盘：用3小时完成场景对话学习、复习检测和错题整理，回顾File 11-12核心词汇与句型各不少于5项；录制1段5分钟综合口语音频，覆盖File 11-12主题。完成标准：完成Revise & Check，整理错题，并独立输出1段5分钟综合表达。,High,chenzehao,Files 11-12 Cycle,4
Day 30 - English Pod - Review Cycle 6,选择1-2段适合A1且与File 11-12主题相关的 English Pod 材料，用2小时完成精听、跟读和复述；提炼5个可复用表达并各造1句，录制1段90秒综合复述音频。完成标准：完成2小时听说训练，输出5句表达替换，并完成1段综合复述录音。,Medium,chenzehao,Files 11-12 Cycle,3
